"Continue","استمر"
"Connect","الاتصال"
"Disconnect","قطع الاتصال"
"Login","تسجيل الدخول"
"Register","تسجيل"
"Unable to retrieve access code","تعذر استرداد رمز الدخول"
"Required HTTP method is not supported","طريقة هتب المطلوبة غير معتمدة"
"Unspecified OAuth error occurred","حدث خطأ أووث غير محدد"
"HTTP error %d occurred while issuing request","حدث خطأ هتب٪ d أثناء إصدار الطلب"
"No access token available","لا يتوفر رمز وصول مميز"
"No refresh token, nothing to revoke","لا رمز مميز للتحديث، لا شيء لإبطاله"
"No refresh token, unable to refresh access token","لا يمكن تحديث الرمز المميز، غير قادر على تحديث الرمز المميز للدخول"
"Unable to retrieve request token","تعذر استرداد الرمز المميز للطلب"
"Unable to retrieve access token","تعذر استرداد الرمز المميز للدخول"
"Unable to proceed without an access token","يتعذر المتابعة بدون رمز وصول مميز"
"You have successfully disconnected your Facebook account from our store account.","لقد نجحت في قطع اتصال حساب فاسيبوك من حساب المتجر."
"Facebook Connect process aborted.","تم إبطال عملية ربط فاسيبوك."
"Sorry, "%s" error occured. Please try again.","عذرا، حدث خطأ٪ "s". حاول مرة اخرى."
"Your Facebook account is already connected to one of our store accounts.","حساب الفيسبوك الخاص بك مربوط الآن بمتجرنا لتسهيل عمليات الشراء الخاصة بك."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","حساب الفيسبوك الخاص بك متصل الآن بحسابك على موقعنا. تستطيع الآن الدخول الى الموقع بواسطة حسابك على فيسبوك، او عن طريق معلومات حسابك الخاص على موقعنا والتي تم ارسالها عبر بردك الألكتروني المسجل لدينا اذا وجد!"
"You have successfully logged in using your Facebook account.","لقد قمت بتسجيل الدخول بنجاح باستخدام حساب فاسيبوك"
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","لقد اكتشفنا لديك بالفعل حساب في متجرنا. حساب فاسيبوك متصل الآن بحساب متجرك."
"Sorry, could not retrieve your Facebook first name. Please try again.","عذرا، تعذر استرداد اسمك الأول في فاسيبوك. حاول مرة اخرى."
"Sorry, could not retrieve your Facebook last name. Please try again.","عذرا، تعذر استرداد الاسم الأخير ل فاسيبوك. حاول مرة اخرى."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","حساب فاسيبوك متصل الآن بحساب المستخدم الجديد في متجرنا. الآن يمكنك تسجيل الدخول باستخدام زر الفيسبوك الاتصال بنا أو باستخدام بيانات اعتماد حساب المتجر سوف تتلقى إلى عنوان البريد الإلكتروني الخاص بك"
"You have successfully disconnected your Google account from our store account.","لقد نجحت في إلغاء ربط حسابك في غوغل بحساب المتجر."
"Google Connect process aborted.","تم إحباط عملية غوغل كونيكت."
"Your Google account is already connected to one of our store accounts.","حساب غوغل متصل بالفعل بحساب من حساباتنا."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","حساب غوغل متصل الآن بتجربة المتجر. يمكنك الآن تسجيل الدخول باستخدام زر غوغل كونيكت أو باستخدام بيانات اعتماد حساب المتجر التي ستتلقىها إلى عنوان بريدك الإلكتروني."
"You have successfully logged in using your Google account.","لقد سجلت الدخول بنجاح باستخدام حسابك في غوغل."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","لقد اكتشفنا لديك بالفعل حساب في متجرنا. حساب غوغل متصل الآن بحساب متجرك."
"Sorry, could not retrieve your Google first name. Please try again.","عذرا، تعذر استرداد اسم غوغل الأول. حاول مرة اخرى."
"Sorry, could not retrieve your Google last name. Please try again.","عذرا، تعذر استرداد اسم غوغل الأخير. حاول مرة اخرى."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","تم الآن ربط حسابك في غوغل بحساب المستخدم الجديد في متجرنا. الآن يمكنك تسجيل الدخول باستخدام زر الاتصال جوجل لدينا أو باستخدام بيانات اعتماد حساب المتجر سوف تتلقى إلى عنوان البريد الإلكتروني الخاص بك."
"You have successfully disconnected your Twitter account from our store account.","لقد نجحت في فصل حساب تويتر عن حساب المتجر."
"Twitter Connect process aborted.","تم إحباط عملية تويتر كونيكت."
"Your Twitter account is already connected to one of our store accounts.","حساب تويتر متصل بالفعل بحساب من حساباتنا."
