"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s تم اضافتها بنجاح في قائمة المفضلة. اضغط <a href=""%2$s"">here</a> لمتابعة التسويق"
"%s's Wishlist","%s's قائمة المفضلة"
"* Required Fields","* حقول مطلوبة"
"Add All to Cart","إضافة الكل إلى عربة التسوق"
"Add to Cart","إضافة إلى عربة التسوق"
"Add to Wishlist","إضافة إلى قائمة المفضلة"
"Added On","اضافة على"
"Are You sure?","هل انت متاكد؟"
"Are you sure you want to remove this product from your wishlist?","هل أنت متأكد أنك تريد إزالة هذا المنتج من قائمة المفضلة؟"
"Are you sure you would like to remove this item from the wishlist?","هل أنت متأكد أنك تود  إزالة هذاالمنتج من قائمة المفضلة؟"
"Back","العودة"
"Can't save description %s","لا يمكن حفظ الوصف %s"
"Cannot create wishlist","لا يمكن إنشاء قائمة المفضلة"
"Cannot specify product","لا يمكن تخصيص المنتج"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","اختر المربع اذا كنت تريد اضافة الوصلة الى RSS لمفضلتك"
"Comment","تعليق"
"Email Sender","مرسل البريد الإلكتروني"
"Email Template","قالب البريد الإلكتروني"
"Email address can't be empty.","عنوان البريد الالكتروني لا يمكن ان يكون فارغا."
"Email addresses, separated by commas","عناوين البريد الالكتروني ، توضع بينها فواصل"
"Enabled","مفعل"
"General Options","خيارات عامة"
"Go to Wishlist","الذهاب إلى قائمة المفضلة"
"Last Added Items","آخر المنتجات المضافة"
"Message","رسالة"
"My Wishlist","قائمة المفضلة"
"My Wishlist (%d item)","قائمة المفضلة (%d منتج)"
"My Wishlist (%d items)","قائمة المفضلة (%d منتج)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","الرجاء ادخال عناوين البريد الالكتروني ، توضع بينها فواصل. فعلى سبيل المثال johndoe@domain.com ، johnsmith@domain.com."
"Please, enter your comments...","من فضلك قم بإدخال تعليقاتك..."
"Product","المنتج"
"RSS Feed","RSS تغذية"
"RSS link to %s's wishlist","RSS رابطة الى %s's قائمة المفضلة"
"Remove Item","إزالة منتجة"
"Share Wishlist","مشاركة قائمة المفضلة"
"Share Your Wishlist","مشاركة قائمة المفضلة"
"Share options","خيارات المشاركة"
"Sharing Information","بيانات المشاركة"
"There was an error while adding item to wishlist.","حدث خطأ أثناء إضافة منتجة إلى قائمة المفضلة."
"There was an error while adding item to wishlist: %s","حدث خطأ أثناء إضافة منتج إلى قائمة المفضلة: %s"
"There was an error while deleting item from wishlist.","حدث خطأ أثناء حذف المنتج من قائمة المفضلة."
"There was an error while deleting item from wishlist: %s","حدث خطأ أثناء حذف المنتج من قائمة المفضلة: %s"
"This product(s) is currently out of stock:","هذه المنتجات غير متوفرة حاليا:"
"Update Wishlist","تحديث قائمة المفضلة"
"View Product","عرض المنتج"
"Wishlist","قائمة المفضلة"
"Wishlist Section","قسم قائمة المفضلة"
"Wishlist Sharing","مشاركة قائمة المفضلة"
"Wishlist is empty now.","قائمة المفضلة فارغة الآن."
"You have no items in your wishlist.","ليس لديك أي منتج في قائمة المفضلة."
"You input not valid email address.","مدخلاتك غير موجوده في عنوان البريد الالكتروني."
"Your Wishlist was successfully shared","تم مشاركة قائمة المفضلة بنجاح"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","قائمة مفضلتي  - <a href=""%s""> %d منتجات </a>"
"My Wishlist","قائمة المفضلة"
"Are you sure you want to remove this product from your wishlist?","هل أنت متأكد انك تريد حذف هذا المنتج من قائمة المفضلة؟"
"Please, enter your comments...","الرجاء ادخال تعليقك..."
